site name,Reservation,Community type,%unvegetated,%open water,%unvegetated open water,%bare ground,Deer Browse Ratings
1395,1,26,0.01109,0,0,0,3
1396,14,36,0.00246059,0,0,0,4
1399,1,9,0.123190874,0,0,0.0001,2
1400,14,8,0.04,0,0,0.04,4
3397,10,8,0.0275,0,0,0.0275,5
3410,4,10,0.003782774,0,0,0.003775,3
3418,8,6,0.04,0,0,0.04,4
3422,8,33,0.068669695,0,0,0.065,3
3428,14,37,0.125,0,0,0.125,5
3432,1,28,0.031282291,0,0,0.005,1
3437,14,8,0.065012066,0,0,0.065,2
3441,11,23,0.003603131,0,0,0,5
3443,9,8,0.04143415,0,0,0.04,4
3449,11,5,0.023337984,0,0,0.0225,2
3453,14,37,0.0012799,0,0,0.0001,1
3457,11,7,0.048112197,0,0,0.0475,2
3461,11,41,0.662213216,0,0,0.625,1
3465,14,36,0.071616138,0,0,0,4
3483,13,9,0.2075,0,0,0.2075,5
3495,13,9,0.001692132,0,0,0,4
3499,13,9,0.29659438,0,0,0.29,3
3500,2,8,0.105750537,0,0,0.105,5
3511,13,17,0.072028388,0,0,0.0325,5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
