plot,year,OM,P1,P2,Bic,K,Mg,Ca,pH,CEC,K.sat,Mg.sat,Ca.sat,H.sat,C.tot,N.tot,C:N,tex5,tex20
3381,2010,4.5,4,33,NA,96,254,1647,6.7,10.6,2.3,20,77.7,NA,3.14,0.21,15.1,1,NA
3382,2011,8.4,3,4,NA,80,75,250,4.3,21.3,1,2.9,5.9,90.2,4.9,0.377,14.9,1,2
3385,2010,7.3,2,5,NA,55,54,221,4.3,5,2.8,9,22.1,66.1,5.19,0.19,27.2,1,2
3386,2010,6.3,7,9,NA,73,87,620,4.9,7.2,2.6,10.1,43.1,44.2,3.95,0.24,16.8,1,1
3387,2011,5.4,5,12,NA,56,205,900,5.5,10,1.4,17.2,45.2,36.2,3.1,0.316,9.9,2,2
3389,2010,2.2,5,32,NA,60,136,1124,7.1,6.9,2.2,16.4,81.4,NA,1.75,0.12,15,3,3
3394,2011,4.6,12,28,NA,55,140,850,5.9,6.8,2.1,17.3,62.9,17.8,2.7,0.197,13.5,1,1
3396,2010,5.5,87,111,NA,82,94,1015,5.2,9.3,2.3,8.4,54.6,34.7,4.06,0.23,17.4,1,1
3400,2011,8,4,5,NA,66,110,650,4.3,17.5,1,5.2,18.5,75.3,4.6,0.334,13.9,1,1
3406,2011,6.6,6,7,NA,57,140,900,4.8,11.8,1.2,9.9,38.1,50.8,3.8,0.364,10.5,1,1
3409,2010,7.6,4,6,NA,80,55,270,4.1,7.8,2.6,5.9,17.3,74.2,4.62,0.29,15.8,1,1
3411,2011,3.1,10,33,NA,53,200,1350,7,8.6,1.6,19.5,78.9,0,1.8,0.154,11.7,1,1
3413,2011,11.2,3,4,NA,56,45,350,4.1,22.7,0.6,1.7,7.7,90,0.7,0.305,2.3,0,1
3415,2011,7.6,4,5,NA,79,120,800,4.7,11.2,1.8,8.9,35.7,53.6,4.4,0.371,11.9,1,1
3417,2011,13.4,4,5,NA,70,90,350,4.4,18.3,1,4.1,9.6,85.3,7.8,0.533,14.6,1,1
3420,2010,5.2,5,14,NA,135,262,2989,7.4,17.5,2,12.5,85.5,NA,5.01,0.28,18,1,2
3425,2011,5.5,5,6,NA,55,60,200,4.1,16,0.9,3.1,6.2,89.8,3.2,0.292,10.9,1,1
3435,2011,6,9,17,NA,121,170,1150,5.8,9.9,3.1,14.3,58.2,24.3,3.5,0.286,12.2,1,1
3459,2011,4.9,28,66,NA,95,250,1850,6.8,11.9,2,17.5,77.5,3,2.8,0.315,9,1,1
3484,2010,10.4,4,6,NA,58,42,210,4.1,5.9,2.5,5.9,17.8,73.8,8.8,0.31,28.8,1,1
3596,2010,9.6,3,6,NA,79,52,254,4.1,7.4,2.7,5.9,17.2,74.2,7.69,0.29,27,1,2
3668,2010,5.4,2,7,NA,120,105,678,4.8,8.7,3.5,10.1,39,47.4,3.72,0.2,18.5,1,1
3732,2010,8.4,4,6,NA,97,57,301,4.2,7.4,3.4,6.4,20.3,69.9,6.29,0.27,23.3,1,1
3980,2010,5.4,5,17,NA,112,209,2267,7.4,13.4,2.1,13,84.9,NA,4.6,0.21,22.1,1,1
